ID	Old_Name	Old_Family	Annotation
PF3D7_0114700	['MAL1P4.17', 'PFA0710c']	rifB	rifin
PF3D7_0114800	['MAL1P4.19', 'PFA0715c']	hyp7	Plasmodium exported protein (hyp7)%2C unknown function
PF3D7_0115100	['MAL1P4.22', 'PFA0735w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_0115200	['MAL1P4.23', 'PFA0740w']	rifA	rifin
PF3D7_0115300	['MAL1P4.25', 'PFA0745w']	rifB	rifin
PF3D7_0115400	['MAL1P4.26', 'PFA0750w']	stevor	stevor
PF3D7_0115500	['PFA0755w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0115600	['MAL1P4.28', 'PFA0760w']	rifA	rifin
PF3D7_0115700	['MAL1P4.29', 'PFA0765c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0200100	['812597', 'PF02_0001', 'PFB0010w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0200200	['812598', 'PF02_0002', 'PFB0015c']	rifA	rifin
PF3D7_0200300	['812599', 'PF02_0003', 'PFB0020c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2
PF3D7_0200400	['812600', 'PF02_0004', 'PFB0025c']	stevor	stevor
PF3D7_0200500	['812601', 'PF02_0005', 'PFB0030c']	rifA	rifin
PF3D7_0200600	['812602', 'PF02_0006', 'PFB0035c']	rifB	rifin
PF3D7_0200700	['812603', 'PF02_0007', 'PFB0040c']	rifA	rifin
PF3D7_0200800	['812604', 'PF02_0008', 'PFB0045c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0200900	['812605', 'PF02_0009', 'PFB0050c']	stevor pseudogene	stevor%2C pseudogene
PF3D7_0201000	['812606', 'PF02_0010', 'PFB0055c']	rifB	rifin
PF3D7_0201200	['812608', 'PF02_0012', 'PFB0060w']	rifA	rifin
PF3D7_0201300	['812609', 'PF02_0013', 'PFB0065w']	stevor	stevor
PF3D7_0201400	['812610', 'PF02_0014', 'PFB0070w']	hyp10	Plasmodium exported protein (hyp10)%2C unknown function
PF3D7_0201600	['812612', 'PF02_0016', 'PFB0080c']	PHISTb	PHISTb domain-containing RESA-like protein 1
PF3D7_0201700	['812613', 'PF02_0017', 'PFB0085c']	PHISTb_dnaj	DnaJ protein%2C putative
PF3D7_0202100	['812617', 'PF02_0021', 'PFB0105c']	PHISTc	liver stage associated protein 2
PF3D7_0208900	['812681', 'PF02_0085', 'PFB0400w']	6-cys	6-cysteine protein
PF3D7_0209000	['812682', 'PF02_0086', 'PFB0405w']	6-cys	6-cysteine protein
PF3D7_0209100	['812683', 'PF02_0087', 'PFB0410c']	Lysophospholipase	phospholipase A2%2C putative
PF3D7_0215000	['812737', 'PF02_0141', 'PFB0685c']	acs	acyl-CoA synthetase
PF3D7_0215300	['812740', 'PF02_0144', 'PFB0695c']	acs	acyl-CoA synthetase
PF3D7_0218600	['812772', 'PF02_0176', 'PFB0870w']	Lysophospholipase	conserved Plasmodium protein%2C unknown function
PF3D7_0219700	['812780', 'PF02_0184', 'PFB0900c']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0219800	['812781', 'PF02_0185', 'PFB0905c']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0220100	['812784', 'PF02_0188', 'PFB0920w']	PHISTb_dnaj	DnaJ protein%2C putative
PF3D7_0220400	['812787', 'PF02_0191', 'PFB0925w']	dnaj_III	DnaJ protein%2C putative%2C pseudogene
PF3D7_0220800	['812791', 'PF02_0195', 'PFB0935w']	clag	cytoadherence linked asexual protein 2
PF3D7_0221200	['812794', 'PF02_0198', 'PFB0953w']	hyp15	Plasmodium exported protein (hyp15)%2C unknown function
PF3D7_0221400	['812795', 'PF02_0199', 'PFB0955w']	stevor	stevor
PF3D7_0221500	['812796', 'PF02_0200', 'PFB0960c']	pfmc-2tm pseudogene	Pfmc-2TM Maurer's cleft two transmembrane protein%2C pseudogene
PF3D7_0221900	['812800', '812801', '812802', 'PF02_0204', 'PF02_0205', 'PF02_0206', 'PFB0973c', 'PFB0974c', 'PFB0975c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0222100	['812805', 'PF02_0209', 'PFB0985c']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0222200	['812806', 'PF02_0210', 'PFB0990c']	hyp4	exported protein family 3
PF3D7_0222400	['812808', 'PF02_0212', 'PFB1000w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0222500	['812809', 'PF02_0213', 'PFB1005w']	rifB	rifin
PF3D7_0222600	['812810', 'PF02_0214', 'PFB1010w']	rifA	rifin
PF3D7_0222700	['812811', 'PF02_0215', 'PFB1015w']	rifB	rifin
PF3D7_0222800	['812812', 'PF02_0216', 'PFB1020w']	stevor	stevor
PF3D7_0222900	['812813', '812814', 'PF02_0217', 'PF02_0218', 'PF3D7_0223000', 'PFB1025w', 'PFB1030w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0223100	['812815', 'PF02_0219', 'PFB1035w']	rifA	rifin
PF3D7_0223200	['812816', 'PF02_0220', 'PFB1040w']	rifB	rifin
PF3D7_0223300	['812817', 'PF02_0221', 'PFB1045w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2
PF3D7_0223400	['812818', 'PF02_0222', 'PFB1050w']	rifA	rifin
PF3D7_0223500	['812819', 'PF02_0223', 'PFB1055c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0300100	['814321', 'MAL3P8.1', 'PFC0005w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0300200	['814322', 'MAL3P8.2', 'PFC0010c']	rifA	rifin
PF3D7_0300300	['814323', 'PFC0015c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0300400	['814324', 'MAL3P8.4', 'PFC0025c']	stevor	stevor
PF3D7_0300500	['814325', 'MAL3P8.5', 'PFC0030c']	rifB	rifin
PF3D7_0300700	['814326', 'MAL3P8.6', 'PFC0035w']	rifA	rifin
PF3D7_0300800	['4794143', 'MAL3P8.7', 'PFC0040w']	rifA	rifin
PF3D7_0300900	['814327', 'MAL3P8.8', 'PFC0045w']	rif-like	stevor-like
PF3D7_0301000	['814328', 'MAL3P8.9', 'PFC0050c']	acs	acyl-CoA synthetase
PF3D7_0301200	['9221788', 'MAL3P8.10', 'PFC0060c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0302200	['814340', 'MAL3P1.2', 'PFC0110w']	clag	cytoadherence linked asexual protein 3.2
PF3D7_0302500	['814342', 'MAL3P1.5', 'PFC0120w']	clag	cytoadherence linked asexual protein 3.1
PF3D7_0314800	['9221779', '9221814', 'MAL3P5.10', 'MAL3P5.9', 'PFC0615w', 'PFC0620w', 'PFD0620c']	rif pseudogen.	conserved Plasmodium protein%2C unknown function
PF3D7_0323900	['9221785', 'MAL3P7.45', 'PFC1070c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0324100	['814556', 'MAL3P7.47', 'PFC1080c']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0324200	['814557', 'MAL3P7.48', 'PFC1085c']	hyp4	exported protein family 3
PF3D7_0324400	['814559', 'MAL3P7.50', 'PFC1095w']	rifA	rifin
PF3D7_0324500	['814560', 'MAL3P7.51', 'PFC1100w']	rifB	rifin
PF3D7_0324600	['814561', 'MAL3P7.52', 'PFC1105w']	stevor	stevor
PF3D7_0324700	['814562', 'PFC1110w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0324800	['814563', 'MAL3P7.54', 'PFC1115w']	rifA	rifin
PF3D7_0324900	['814564', 'MAL3P7.55', 'PFC1120c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0400100	['812552', 'MAL4P1.1', 'PFD0005w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0400300	['812550', 'MAL4P1.3', 'PFD0015c']	rifA	rifin
PF3D7_0400400	['812551', 'MAL4P1.4', 'PFD0020c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0400500	['812548', 'MAL4P1.5', 'PFD0025w']	rifA	rifin
PF3D7_0400600	['9221811', 'PFD0028w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 1%2C pseudogene
PF3D7_0400700	['812549', 'MAL4P1.6', 'PFD0030c']	rifA	rifin
PF3D7_0400800	['812539', 'MAL4P1.7', 'PFD0035c']	stevor	stevor
PF3D7_0400900	['812536', 'MAL4P1.8', 'PFD0040c']	rifA	rifin
PF3D7_0401000	['4794146', 'MAL4P1.9', 'PFD0045c']	rifB	rifin
PF3D7_0401200	['4794149', 'MAL4P1.10', 'PFD0050w']	rifA	rifin
PF3D7_0401300	['4794150', 'MAL4P1.11', 'PFD0055w']	rifA	rifin
PF3D7_0401400	['4794147', 'MAL4P1.12', 'PFD0060w']	rifA	rifin
PF3D7_0401500	['812535', 'MAL4P1.13', 'PFD0065w']	stevor pseudogene	stevor%2C pseudogene
PF3D7_0401700	['812533', 'MAL4P1.15', 'PFD0075w']	PFD0075-like	Plasmodium exported protein%2C unknown function%2C pseudogene
PF3D7_0401800	['812531', 'MAL4P1.16', 'PFD0080c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0401900	['812532', 'MAL4P1.17', 'PFD0085c']	acs	acyl-CoA synthetase
PF3D7_0402000	['812529', 'MAL4P1.18', 'PFD0090c']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_0402100	['812530', 'MAL4P1.19', 'PFD0095c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0402500	['812507', 'MAL4P1.24', 'PFD0120w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0402600	['812506', 'MAL4P1.26', 'PFD0125c', 'PFD0130c']	stevor	stevor
PF3D7_0402700	['812495', '812499', 'MAL4P1.27', 'MAL4P1.27b', 'PFD0134c', 'PFD0135c']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0402800	['9221812', 'MAL4P1.28', 'PFD0135w', 'PFD0140w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0404400	['812450', 'MAL4P1.42', 'PFD0210c']	6-cys	6-cysteine protein
PF3D7_0404500	['9221796', 'MAL4P1.43', 'PFD0215c']	6-cys	6-cysteine protein
PF3D7_0404900	['812447', 'MAL4P1.47', 'PFD0240c']	6-cys	6-cysteine protein
PF3D7_0412400	['812583', 'MAL4P2.56', 'PFD0615c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0412600	['MAL4P2.57', 'PFD0595c', 'PFD0620c']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0412700	['812580', 'MAL4P2.58', 'PFD0625c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0412900	['812579', 'PFD0630c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0413100	['4794155', 'PFD0635c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0413200	['812578', 'MAL4P1.123', 'PFD0640c']	rifA	rifin
PF3D7_0413300	['812577', 'MAL4P1.124', 'PFD0645w']	rifA	rifin
PF3D7_0413400	['812573', 'MAL4P1.126', 'PFD0655w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 1%2C pseudogene
PF3D7_0420700	['812476', 'MAL4P1.194', 'PFD0995c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0420900	['4794161', 'MAL4P1.195', 'PFD1000c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0421100	['4794162', 'MAL4P1.196', 'PFD1005c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0421200	['812474', 'MAL4P1.197', 'PFD1010w']	rifB	rifin
PF3D7_0421300	['4794163', 'MAL4P1.198', 'PFD1015c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0421500	['812473', 'MAL4P1.199', 'PFD1020c']	rifA	rifin%2C pseudogene
PF3D7_0421600	['812472', 'MAL4P1.200', 'PFD1025w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)-like pseudogene
PF3D7_0424000	['812434', 'MAL4P1.223', 'PFD1140w']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0424500	['812596', 'MAL4P1.228', 'PFD1165w']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0424600	['812429', 'MAL4P1.229', 'PFD1170c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0424700	['812427', 'MAL4P1.230', 'PFD1175w']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0424800	['812424', 'MAL4P1.231', 'PFD1180w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0424900	['812425', 'MAL4P1.232', 'PFD1185w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_0425000	['812421', 'MAL4P1.234', 'PFD1190c', 'PFD1195c']	PFD0075-like	Plasmodium exported protein%2C unknown function%2C pseudogene
PF3D7_0425100	['812418', 'MAL4P1.235', 'PFD1200c']	hyp6	Plasmodium exported protein (hyp6)%2C unknown function
PF3D7_0425200	['812411', 'MAL4P1.236', 'PFD1205w']	hyp15	Plasmodium exported protein (hyp15)%2C unknown function
PF3D7_0425300	['812412', 'MAL4P1.237', 'PFD1210w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_0425400	['812407', 'MAL4P1.238', 'PFD1215w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_0425500	['812405', 'MAL4P1.239', 'PFD1220c']	stevor	stevor
PF3D7_0425600	['9221813', 'MAL4P1.240', 'PFD1200w', 'PFD1225w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0425700	['812402', 'MAL4P1.241', 'PFD1230c']	rifA	rifin
PF3D7_0425800	['812400', '9221939', 'MAL4P1.242', 'MAL7P1.1', 'MAL8P1.207', 'PFD1235w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0425900	['812399', 'MAL4P1.243', 'PFD1240w']	rifA	rifin
PF3D7_0426000	['812398', 'MAL4P1.244', 'PFD1245c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0500100	['812899', 'MAL5P1.2', 'PFE0005w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0500200	['812900', 'MAL5P1.3', 'PFE0010c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0500300	['812898', 'MAL5P1.4', 'PFE0015c']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0500400	['812896', 'MAL5P1.5', 'PFE0020c']	rifA	rifin
PF3D7_0500500	['4794172', 'MAL5P1.6', 'PFE0025c']	rifB	rifin
PF3D7_0500600	['812897', 'MAL5P1.7', 'PFE0030c']	stevor pseudogene	stevor%2C pseudogene
PF3D7_0500800	['812891', 'MAL5P1.9', 'PFE0040c']	dnaj_III	mature parasite-infected erythrocyte surface antigen
PF3D7_0500900	['812888', 'MAL5P1.10', 'PFE0045c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0508000	['812868', 'MAL5P1.81', 'PFE0395c']	6-cys	6-cysteine protein
PF3D7_0523400	['813049', 'MAL5P1.234', 'PFE1170w']	dnaj_III	DnaJ protein%2C putative
PF3D7_0525100	['813065', 'MAL5P1.250', 'PFE1250w']	acs	acyl-CoA synthetase
PF3D7_0532200	['813128', 'MAL5P1.313', 'PFE1595c']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0532300	['813129', 'MAL5P1.314', 'PFE1600w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0532400	['813130', 'MAL5P1.315', 'PFE1605w']	PHISTb	lysine-rich membrane-associated PHISTb protein
PF3D7_0532700	['813133', '813134', 'MAL5P1.318', 'MAL5P1.319', 'PFE1620c', 'PFE1625c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0532900	['813135', 'MAL5P1.320', 'PFE1630w']	rifB	rifin
PF3D7_0533000	['813136', 'MAL5P1.321', 'PFE1635w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0533100	['813137', 'MAL5P1.322', 'PFE1640w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0600100	['2270.t00001', '3885989', 'MAL6P1.317', 'PFF0005c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0600200	['2270.t00002', '3885990', 'MAL6P1.316', 'PFF0010w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0600300	['2270.t00003', '3885991', 'MAL6P1.315', 'PFF0015c']	rifA	rifin
PF3D7_0600400	['2270.t00005', '3885677', 'MAL6P1.314', 'PFF0020c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0600500	['2270.t00006', '3885678', 'MAL6P1.313', 'PFF0025w']	rifA	rifin
PF3D7_0600600	['2270.t00007', '3885679', 'MAL6P1.312', 'PFF0030c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2
PF3D7_0600700	['2270.t00008', '3885680', 'MAL6P1.311', 'PFF0035c']	rifA	rifin
PF3D7_0600800	['3885681', 'PFF0040c']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0600900	['3885682', 'PFF0045c']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0601100	['3885684', 'PFF0055w']	hyp4	exported protein family 3
PF3D7_0601200	['3885743', 'PFF0060w']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0601400	['3885745', 'PFF0070w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0601500	['2270.t00299', '3885746', 'MAL6P1.19', 'PFF0075c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0601700	['2270.t00297', '3885748', 'MAL6P1.21', 'PFF0085w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_0612700	['2270.t00477', '3885775', 'MAL6P1.299', 'PFF0615c', 'Pf12']	6-cys	6-cysteine protein
PF3D7_0612800	['2270.t00020', '3885776', 'MAL6P1.298', 'PFF0620c']	6-cys	6-cysteine protein
PF3D7_0617400	['2270.t00065', '3885794', 'MAL6P1.252', 'PFF0845c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0617500	['9221871', 'PFF0847w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0617600	['2270.t00066', '3885795', 'MAL6P1.251', 'PFF0850c']	stevor	stevor
PF3D7_0617700	['2270.t00067', '3885796', 'MAL6P1.250', 'PFF0855c']	rifA	rifin
PF3D7_0619500	['2270.t00084', '3885943', 'MAL6P1.231', 'PFF0945c']	acs	acyl-CoA synthetase
PF3D7_0631100	['3885815', 'PFF1510w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0631400	['2270.t00309', '3885818', 'MAL6P1.15', 'PFF1525c']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0631500	['2270.t00310', '3885819', 'MAL6P1.14', 'PFF1530c']	hyp4	exported protein family 3
PF3D7_0631700	['2270.t00312', '3885821', 'MAL6P1.12', 'PFF1540w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0631800	['2270.t00313', '3885822', 'MAL6P1.11', 'PFF1545w']	rifB	rifin
PF3D7_0631900	['2270.t00314', '3885823', 'MAL6P1.10', 'PFF1550w']	stevor	stevor
PF3D7_0632000	['2270.t00315', '3885824', 'MAL6P1.9', 'PFF1555w']	rifA	rifin
PF3D7_0632100	['2270.t00316', '3885825', 'MAL6P1.8', 'PFF1560c']	rifA	rifin
PF3D7_0632200	['2270.t00317', '3885826', 'MAL6P1.7', 'PFF1565c']	rifA	rifin
PF3D7_0632300	['2270.t00318', '3885827', 'MAL6P1.6', 'PFF1570w']	rifB	rifin
PF3D7_0632400	['2270.t00319', '3885828', 'MAL6P1.5', 'PFF1575w']	rifA	rifin
PF3D7_0632500	['2270.t00320', '3885829', 'MAL6P1.4', 'PFF1580c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0632600	['2270.t00321', '3885830', 'MAL6P1.3', 'PFF1585w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0632700	['2270.t00322', '3885831', 'MAL6P1.2', 'PFF1590w']	rifA	rifin
PF3D7_0632800	['2270.t00323', '3885832', 'MAL6P1.1', 'PFF1595c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0700100	['9221962', 'MAL8P1.220']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0700200	['9221961', 'MAL8P1.219']	rifA	rifin
PF3D7_0700300	['9221947', 'MAL8P1.218']	rifA	rifin
PF3D7_0700400	['9221946', 'MAL8P1.217']	stevor	stevor
PF3D7_0700500	['9221945', 'MAL8P1.216']	rifA	rifin
PF3D7_0700700	['9221958', 'MAL8P1.214']	stevor pseudogene	stevor%2C pseudogene
PF3D7_0700800	['9221949', 'MAL8P1.213']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0701000	['9221941', '9221960', 'MAL8P1.209', 'MAL8P1.211']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0701300	['9221891', 'MAL7P1.200']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0701500	['2655000', 'MAL7P1.4']	hyp4	exported protein family 3
PF3D7_0701600	['2655003', 'MAL7P1.5']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0701800	['2654944', 'PF07_0003']	rifA	rifin
PF3D7_0702100	['2655018', 'MAL7P1.7']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function%2C pseudogene
PF3D7_0702200	['2654972', 'PF07_0005']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_0709700	['2655076', 'PF07_0040']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_0711700	['2654957', 'PF07_0048']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0711900	['2655001', 'MAL7P1.43']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0712000	['2654960', 'PF07_0049']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0712200	['2655002', 'MAL7P1.47']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0712300	['2654929', 'MAL7P1.50']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0712400	['4794183', 'PF07_0050']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0712500	['2655004', 'MAL7P1.52']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0712600	['4794184', 'PF07_0051']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0712800	['2654948', 'MAL7P1.55']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0712900	['4794185', 'MAL7P1.56']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0713000	['2654942', 'MAL7P1.57']	rifA	rifin
PF3D7_0713100	['2655005', 'MAL7P1.58']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0713300	['2655009', 'MAL7P1.60', 'MAL7P1.61', 'MAL7P1.62', 'MAL7P1.63']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0726200	['2655087', 'MAL7P1.144']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0731100	['2654994', 'MAL7P1.172']	PHISTc	EMP1-trafficking protein
PF3D7_0731300	['2654996', 'MAL7P1.174']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0731400	['2654997', 'MAL7P1.175']	FIKK pseudogene.	serine/threonine protein kinase%2C FIKK family%2C pseudogene
PF3D7_0731600	['2655181', 'PF07_0129']	acs	acyl-CoA synthetase
PF3D7_0731900	['9221876', 'MAL7P1.179']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0732000	['2655182', 'PF07_0130']	stevor	stevor
PF3D7_0732100	['2654941', 'MAL7P1.183', 'PF07_0131']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_0732200	['1791.m00049', '4794188', 'PF07_0132']	rifA	rifin
